Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[50/15711 cells] made=100 skip=0 err=0 ~5014/hr
[100/15711 cells] made=200 skip=0 err=0 ~5003/hr
[150/15711 cells] made=300 skip=0 err=0 ~4994/hr
[200/15711 cells] made=400 skip=0 err=0 ~4996/hr
[250/15711 cells] made=500 skip=0 err=0 ~4997/hr
[300/15711 cells] made=600 skip=0 err=0 ~4998/hr
[350/15711 cells] made=700 skip=0 err=0 ~4996/hr
[400/15711 cells] made=800 skip=0 err=0 ~4996/hr
[450/15711 cells] made=900 skip=0 err=0 ~4996/hr
[500/15711 cells] made=1000 skip=0 err=0 ~4996/hr
[550/15711 cells] made=1100 skip=0 err=0 ~4991/hr
[600/15711 cells] made=1200 skip=0 err=0 ~4991/hr
[650/15711 cells] made=1300 skip=0 err=0 ~4992/hr
[700/15711 cells] made=1400 skip=0 err=0 ~4993/hr
[750/15711 cells] made=1500 skip=0 err=0 ~4993/hr
[800/15711 cells] made=1600 skip=0 err=0 ~4989/hr
[850/15711 cells] made=1700 skip=0 err=0 ~4985/hr
[900/15711 cells] made=1800 skip=0 err=0 ~4985/hr
[950/15711 cells] made=1900 skip=0 err=0 ~4986/hr
[1000/15711 cells] made=2000 skip=0 err=0 ~4986/hr
[1050/15711 cells] made=2100 skip=0 err=0 ~4987/hr
[1100/15711 cells] made=2200 skip=0 err=0 ~4987/hr
[1150/15711 cells] made=2300 skip=0 err=0 ~4988/hr
[1200/15711 cells] made=2400 skip=0 err=0 ~4988/hr
[1250/15711 cells] made=2500 skip=0 err=0 ~4988/hr
[1300/15711 cells] made=2600 skip=0 err=0 ~4988/hr
[1350/15711 cells] made=2700 skip=0 err=0 ~4989/hr
[1400/15711 cells] made=2800 skip=0 err=0 ~4989/hr
[1450/15711 cells] made=2900 skip=0 err=0 ~4989/hr
[1500/15711 cells] made=3000 skip=0 err=0 ~4990/hr
[1550/15711 cells] made=3100 skip=0 err=0 ~4990/hr
[1600/15711 cells] made=3200 skip=0 err=0 ~4990/hr
[1650/15711 cells] made=3300 skip=0 err=0 ~4989/hr
[1700/15711 cells] made=3400 skip=0 err=0 ~4989/hr
[1750/15711 cells] made=3500 skip=0 err=0 ~4988/hr
[1800/15711 cells] made=3600 skip=0 err=0 ~4988/hr
[1850/15711 cells] made=3700 skip=0 err=0 ~4988/hr
[1900/15711 cells] made=3800 skip=0 err=0 ~4989/hr
[1950/15711 cells] made=3900 skip=0 err=0 ~4989/hr
[2000/15711 cells] made=4000 skip=0 err=0 ~4989/hr
[2050/15711 cells] made=4100 skip=0 err=0 ~4989/hr
[2100/15711 cells] made=4200 skip=0 err=0 ~4990/hr
[2150/15711 cells] made=4300 skip=0 err=0 ~4990/hr
[2200/15711 cells] made=4400 skip=0 err=0 ~4990/hr
[2250/15711 cells] made=4500 skip=0 err=0 ~4990/hr
[2300/15711 cells] made=4600 skip=0 err=0 ~4990/hr
[2350/15711 cells] made=4700 skip=0 err=0 ~4990/hr
[2400/15711 cells] made=4800 skip=0 err=0 ~4988/hr
[2450/15711 cells] made=4900 skip=0 err=0 ~4988/hr
[2500/15711 cells] made=5000 skip=0 err=0 ~4989/hr
[2550/15711 cells] made=5100 skip=0 err=0 ~4988/hr
[2600/15711 cells] made=5200 skip=0 err=0 ~4988/hr
[2650/15711 cells] made=5300 skip=0 err=0 ~4988/hr
[2700/15711 cells] made=5400 skip=0 err=0 ~4988/hr
[2750/15711 cells] made=5500 skip=0 err=0 ~4988/hr
[2800/15711 cells] made=5600 skip=0 err=0 ~4988/hr
[2850/15711 cells] made=5700 skip=0 err=0 ~4988/hr
[2900/15711 cells] made=5800 skip=0 err=0 ~4988/hr
[2950/15711 cells] made=5900 skip=0 err=0 ~4988/hr
[3000/15711 cells] made=6000 skip=0 err=0 ~4989/hr
[3050/15711 cells] made=6100 skip=0 err=0 ~4989/hr
[3100/15711 cells] made=6200 skip=0 err=0 ~4989/hr
[3150/15711 cells] made=6300 skip=0 err=0 ~4988/hr
[3200/15711 cells] made=6400 skip=0 err=0 ~4988/hr
[3250/15711 cells] made=6500 skip=0 err=0 ~4989/hr
[3300/15711 cells] made=6600 skip=0 err=0 ~4989/hr
[3350/15711 cells] made=6700 skip=0 err=0 ~4989/hr
[3400/15711 cells] made=6800 skip=0 err=0 ~4989/hr
[3450/15711 cells] made=6900 skip=0 err=0 ~4989/hr
[3500/15711 cells] made=7000 skip=0 err=0 ~4989/hr
[3550/15711 cells] made=7100 skip=0 err=0 ~4987/hr
[3600/15711 cells] made=7200 skip=0 err=0 ~4987/hr
[3650/15711 cells] made=7300 skip=0 err=0 ~4986/hr
[3700/15711 cells] made=7400 skip=0 err=0 ~4987/hr
[3750/15711 cells] made=7500 skip=0 err=0 ~4986/hr
[3800/15711 cells] made=7600 skip=0 err=0 ~4986/hr
[3850/15711 cells] made=7700 skip=0 err=0 ~4986/hr
[3900/15711 cells] made=7800 skip=0 err=0 ~4986/hr
[3950/15711 cells] made=7900 skip=0 err=0 ~4986/hr
[4000/15711 cells] made=8000 skip=0 err=0 ~4986/hr
[4050/15711 cells] made=8100 skip=0 err=0 ~4986/hr
[4100/15711 cells] made=8200 skip=0 err=0 ~4986/hr
[4150/15711 cells] made=8300 skip=0 err=0 ~4986/hr
[4200/15711 cells] made=8400 skip=0 err=0 ~4985/hr
[4250/15711 cells] made=8500 skip=0 err=0 ~4985/hr
[4300/15711 cells] made=8600 skip=0 err=0 ~4985/hr
[4350/15711 cells] made=8700 skip=0 err=0 ~4985/hr
[4400/15711 cells] made=8800 skip=0 err=0 ~4986/hr
[4450/15711 cells] made=8900 skip=0 err=0 ~4986/hr
[4500/15711 cells] made=9000 skip=0 err=0 ~4986/hr
[4550/15711 cells] made=9100 skip=0 err=0 ~4986/hr
[4600/15711 cells] made=9200 skip=0 err=0 ~4985/hr
